segment_idx,segment_start,segment_end,i3_photoresistor_psd_peak_baseband,i3_photoresistor_psd_peak_fm_demodulated,i3_photoresistor_psd_mean_energy_baseband,i3_photoresistor_psd_mean_energy_fm_demodulated,i3_photoresistor_psd_peak_freq_baseband,i3_photoresistor_psd_peak_freq_fm_demodulated,i3_photoresistor_rms_baseband,i3_photoresistor_rms_fm_demodulated,i3_photoresistor_mean_baseband,i3_photoresistor_mean_fm_demodulated,i3_photoresistor_variance_baseband,i3_photoresistor_variance_fm_demodulated,i3_photoresistor_fft_peak_baseband,i3_photoresistor_fft_peak_fm_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_fm_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_fm_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_fm_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_fm_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_fm_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_fm_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_fm_demodulated,current_state_binary
0,2023-02-06T14:08:10.000000000,2023-02-06T14:09:08.000000000,0.002205,1.0,0.002438,1.0,0.666667,1.0,0.068013,0.083086,0.025048,0.061394,0.60931,1.0,0.025048,0.061394,0.0,0.620633,0.0,0.620633,0.0,0.620633,0.0,0.620633,0.0,0.620633,0.0,0.620633,0.0,0.620633,1
1,2023-02-06T14:08:40.000000000,2023-02-06T14:09:38.000000000,1.0,0.568132,1.0,0.517472,0.0,0.936346,0.150632,0.117895,0.124655,0.101805,1.0,0.69222,0.124655,0.101805,0.0,0.028296,0.0,0.028296,0.0,0.028296,0.0,0.028296,0.0,0.028296,0.0,0.028296,0.0,0.028296,1
2,2023-02-06T14:09:10.000000000,2023-02-06T14:10:08.000000000,1.7e-05,0.174366,7.6e-05,0.097936,1.0,0.657145,0.189316,0.154794,0.19214,0.146236,0.000434,0.0,0.19214,0.146236,0.0,0.190362,0.0,0.190362,0.0,0.190362,0.0,0.190362,0.0,0.190362,0.0,0.190362,0.0,0.190362,1
3,2023-02-06T14:09:40.000000000,2023-02-06T14:10:38.000000000,0.000144,0.634818,0.000202,0.574946,0.0,0.299111,0.191011,0.222288,0.193838,0.22678,0.0,0.290396,0.193838,0.22678,0.0,0.258017,0.0,0.258017,0.0,0.258017,0.0,0.258017,0.0,0.258017,0.0,0.258017,0.0,0.258017,1
4,2023-02-06T14:10:10.000000000,2023-02-06T14:11:08.000000000,6.1e-05,0.534147,9.4e-05,0.483854,0.0,0.405443,0.190238,0.288453,0.193064,0.290287,0.000204,0.302139,0.193064,0.290287,0.0,0.143219,0.0,0.143219,0.0,0.143219,0.0,0.143219,0.0,0.143219,0.0,0.143219,0.0,0.143219,1
5,2023-02-06T14:10:40.000000000,2023-02-06T14:11:38.000000000,0.0,0.570191,0.0,0.514181,0.0,0.426938,0.187722,0.253269,0.190557,0.255487,0.000176,0.297948,0.190557,0.255487,0.0,0.205133,0.0,0.205133,0.0,0.205133,0.0,0.205133,0.0,0.205133,0.0,0.205133,0.0,0.205133,1
6,2023-02-06T14:11:10.000000000,2023-02-06T14:12:08.000000000,0.001492,0.52962,0.001166,0.464392,0.0,0.148799,0.17623,0.174735,0.178542,0.177795,0.02483,0.33028,0.178542,0.177795,0.0,0.127596,0.0,0.127596,0.0,0.127596,0.0,0.127596,0.0,0.127596,0.0,0.127596,0.0,0.127596,1
7,2023-02-06T14:11:40.000000000,2023-02-06T14:12:38.000000000,0.0204,0.480988,0.01812,0.431145,0.0,0.338954,0.153279,0.183432,0.15548,0.180812,0.029081,0.2199,0.15548,0.180812,0.0,0.184676,0.0,0.184676,0.0,0.184676,0.0,0.184676,0.0,0.184676,0.0,0.184676,0.0,0.184676,1
8,2023-02-06T14:12:10.000000000,2023-02-06T14:13:08.000000000,0.018376,0.536936,0.017785,0.484043,0.0,0.537242,0.127865,0.157395,0.130143,0.152818,0.02492,0.309755,0.130143,0.152818,0.0,0.163306,0.0,0.163306,0.0,0.163306,0.0,0.163306,0.0,0.163306,0.0,0.163306,0.0,0.163306,1
9,2023-02-06T14:12:40.000000000,2023-02-06T14:13:38.000000000,0.007711,0.384802,0.013581,0.32087,0.333333,0.280989,0.108514,0.084034,0.111373,0.078479,0.00703,0.225098,0.111373,0.078479,0.0,0.140548,0.0,0.140548,0.0,0.140548,0.0,0.140548,0.0,0.140548,0.0,0.140548,0.0,0.140548,1
10,2023-02-06T14:13:10.000000000,2023-02-06T14:14:08.000000000,0.008524,0.509231,0.007645,0.458996,0.0,0.314996,0.090374,0.093046,0.09213,0.090365,0.033532,0.199853,0.09213,0.090365,0.0,0.232746,0.0,0.232746,0.0,0.232746,0.0,0.232746,0.0,0.232746,0.0,0.232746,0.0,0.232746,1
11,2023-02-06T14:13:40.000000000,2023-02-06T14:14:38.000000000,0.011562,0.563646,0.011384,0.517226,0.0,0.556103,0.067228,0.113678,0.069342,0.114974,0.020766,0.324338,0.069342,0.114974,0.0,0.157453,0.0,0.157453,0.0,0.157453,0.0,0.157453,0.0,0.157453,0.0,0.157453,0.0,0.157453,1
12,2023-02-06T14:14:10.000000000,2023-02-06T14:15:08.000000000,0.001803,0.465168,0.002634,0.409727,0.333333,0.369557,0.050813,0.115424,0.053513,0.113475,0.008756,0.284973,0.053513,0.113475,0.0,0.143005,0.0,0.143005,0.0,0.143005,0.0,0.143005,0.0,0.143005,0.0,0.143005,0.0,0.143005,1
13,2023-02-06T14:14:40.000000000,2023-02-06T14:15:38.000000000,0.010674,0.446677,0.009208,0.378524,0.0,0.287985,0.034273,0.042331,0.036044,0.040201,0.016686,0.219763,0.036044,0.040201,0.0,0.171006,0.0,0.171006,0.0,0.171006,0.0,0.171006,0.0,0.171006,0.0,0.171006,0.0,0.171006,1
14,2023-02-06T14:15:10.000000000,2023-02-06T14:16:08.000000000,0.001049,0.481217,0.001273,0.42346,0.0,0.219269,0.017837,0.0,0.019897,0.0,0.00899,0.185332,0.019897,0.0,0.0,0.200017,0.0,0.200017,0.0,0.200017,0.0,0.200017,0.0,0.200017,0.0,0.200017,0.0,0.200017,1
15,2023-02-06T14:15:40.000000000,2023-02-06T14:16:38.000000000,0.005434,0.576677,0.008437,0.52538,0.0,0.171145,0.006255,0.092505,0.005416,0.089834,0.015543,0.30668,0.005416,0.089834,0.0,0.192411,0.0,0.192411,0.0,0.192411,0.0,0.192411,0.0,0.192411,0.0,0.192411,0.0,0.192411,1
16,2023-02-06T14:16:10.000000000,2023-02-06T14:17:08.000000000,0.000894,0.447298,0.001309,0.377594,0.0,0.259049,0.0,0.043444,0.0,0.038794,0.007776,0.268518,0.0,0.038794,0.0,0.138348,0.0,0.138348,0.0,0.138348,0.0,0.138348,0.0,0.138348,0.0,0.138348,0.0,0.138348,1
17,2023-02-06T14:16:40.000000000,2023-02-06T14:17:38.000000000,0.007465,0.485324,0.007421,0.426121,0.0,0.084003,0.015451,0.032757,0.015106,0.028548,0.022005,0.194289,0.015106,0.028548,0.0,0.224435,0.0,0.224435,0.0,0.224435,0.0,0.224435,0.0,0.224435,0.0,0.224435,0.0,0.224435,1
18,2023-02-06T14:17:10.000000000,2023-02-06T14:18:08.000000000,0.018877,0.599272,0.015395,0.547614,0.0,0.197936,0.043913,0.141857,0.043989,0.138577,0.040909,0.350605,0.043989,0.138577,0.0,0.182436,0.0,0.182436,0.0,0.182436,0.0,0.182436,0.0,0.182436,0.0,0.182436,0.0,0.182436,1
19,2023-02-06T14:17:40.000000000,2023-02-06T14:18:38.000000000,0.022889,0.473652,0.018958,0.412655,0.0,0.284515,0.081404,0.143318,0.081969,0.140127,0.056523,0.286612,0.081969,0.140127,0.0,0.145526,0.0,0.145526,0.0,0.145526,0.0,0.145526,0.0,0.145526,0.0,0.145526,0.0,0.145526,1
20,2023-02-06T14:18:10.000000000,2023-02-06T14:19:08.000000000,0.017568,0.522531,0.014803,0.471022,0.0,0.19442,0.116319,0.188391,0.11816,0.186966,0.03699,0.268648,0.11816,0.186966,0.0,0.183116,0.0,0.183116,0.0,0.183116,0.0,0.183116,0.0,0.183116,0.0,0.183116,0.0,0.183116,1
21,2023-02-06T14:18:40.000000000,2023-02-06T14:19:38.000000000,0.003832,0.440377,0.004524,0.375062,0.0,0.442356,0.13579,0.222985,0.138547,0.223319,0.008982,0.287185,0.138547,0.223319,0.0,0.120626,0.0,0.120626,0.0,0.120626,0.0,0.120626,0.0,0.120626,0.0,0.120626,0.0,0.120626,1
22,2023-02-06T14:19:10.000000000,2023-02-06T14:20:08.000000000,0.000914,0.393613,0.000763,0.326272,0.0,0.550983,0.145055,0.148889,0.147944,0.148823,0.003528,0.119921,0.147944,0.148823,0.0,0.210566,0.0,0.210566,0.0,0.210566,0.0,0.210566,0.0,0.210566,0.0,0.210566,0.0,0.210566,1
23,2023-02-06T14:19:40.000000000,2023-02-06T14:20:38.000000000,0.002063,0.559159,0.003708,0.5099,0.333333,0.382986,0.148312,0.165088,0.151256,0.166629,0.001138,0.233915,0.151256,0.166629,0.0,0.202191,0.0,0.202191,0.0,0.202191,0.0,0.202191,0.0,0.202191,0.0,0.202191,0.0,0.202191,1
24,2023-02-06T14:20:10.000000000,2023-02-06T14:21:08.000000000,0.000122,0.463825,0.000109,0.403087,0.0,0.177496,0.14667,0.184187,0.149649,0.185123,8e-06,0.237069,0.149649,0.185123,0.0,0.156508,0.0,0.156508,0.0,0.156508,0.0,0.156508,0.0,0.156508,0.0,0.156508,0.0,0.156508,1
25,2023-02-06T14:20:40.000000000,2023-02-06T14:21:38.000000000,0.000106,0.505223,0.000124,0.448929,0.0,0.329503,0.144967,0.15365,0.147947,0.151632,0.000199,0.214248,0.147947,0.151632,0.0,0.205584,0.0,0.205584,0.0,0.205584,0.0,0.205584,0.0,0.205584,0.0,0.205584,0.0,0.205584,1
26,2023-02-06T14:21:10.000000000,2023-02-06T14:22:08.000000000,0.000313,0.522478,0.000564,0.482062,0.0,0.484488,0.144396,0.193005,0.147105,0.191574,0.010124,0.292666,0.147105,0.191574,0.0,0.14843,0.0,0.14843,0.0,0.14843,0.0,0.14843,0.0,0.14843,0.0,0.14843,0.0,0.14843,1
27,2023-02-06T14:21:40.000000000,2023-02-06T14:22:38.000000000,0.025802,0.462297,0.046212,0.417575,0.333333,0.261223,0.146657,0.202243,0.149272,0.201285,0.013471,0.230909,0.149272,0.201285,0.0,0.173939,0.0,0.173939,0.0,0.173939,0.0,0.173939,0.0,0.173939,0.0,0.173939,0.0,0.173939,1
28,2023-02-06T14:22:10.000000000,2023-02-06T14:23:08.000000000,0.002384,0.494712,0.003742,0.43534,0.0,0.159262,0.15554,0.238491,0.158011,0.237406,0.018666,0.281248,0.158011,0.237406,0.0,0.164831,0.0,0.164831,0.0,0.164831,0.0,0.164831,0.0,0.164831,0.0,0.164831,0.0,0.164831,1
29,2023-02-06T14:22:40.000000000,2023-02-06T14:23:38.000000000,0.0195,0.418342,0.017314,0.354961,0.0,0.348617,0.175531,0.293079,0.177722,0.294002,0.030128,0.199257,0.177722,0.294002,0.0,0.182024,0.0,0.182024,0.0,0.182024,0.0,0.182024,0.0,0.182024,0.0,0.182024,0.0,0.182024,1
30,2023-02-06T14:23:10.000000000,2023-02-06T14:24:08.000000000,0.022339,0.566796,0.020334,0.521154,0.0,0.089017,0.206815,0.232224,0.208737,0.23285,0.043375,0.222941,0.208737,0.23285,0.0,0.231025,0.0,0.231025,0.0,0.231025,0.0,0.231025,0.0,0.231025,0.0,0.231025,0.0,0.231025,1
31,2023-02-06T14:23:40.000000000,2023-02-06T14:24:38.000000000,0.002035,0.557472,0.002103,0.509005,0.0,0.397716,0.233106,0.24156,0.235543,0.241261,0.014047,0.366992,0.235543,0.241261,0.0,0.123396,0.0,0.123396,0.0,0.123396,0.0,0.123396,0.0,0.123396,0.0,0.123396,0.0,0.123396,1
32,2023-02-06T14:24:10.000000000,2023-02-06T14:25:08.000000000,0.010275,0.439583,0.010904,0.378353,0.0,0.716167,0.253666,0.323113,0.255933,0.323398,0.021343,0.203345,0.255933,0.323398,0.0,0.179838,0.0,0.179838,0.0,0.179838,0.0,0.179838,0.0,0.179838,0.0,0.179838,0.0,0.179838,1
33,2023-02-06T14:24:40.000000000,2023-02-06T14:25:38.000000000,0.000341,0.592338,0.000372,0.542849,0.666667,0.526404,0.266351,0.269436,0.268914,0.268437,0.000287,0.286405,0.268914,0.268437,0.0,0.184411,0.0,0.184411,0.0,0.184411,0.0,0.184411,0.0,0.184411,0.0,0.184411,0.0,0.184411,1
34,2023-02-06T14:25:10.000000000,2023-02-06T14:26:08.000000000,0.000483,0.473549,0.000321,0.415059,0.0,0.35632,0.270347,0.243298,0.272884,0.241945,0.001072,0.345538,0.272884,0.241945,0.0,0.098909,0.0,0.098909,0.0,0.098909,0.0,0.098909,0.0,0.098909,0.0,0.098909,0.0,0.098909,1
35,2023-02-06T14:25:40.000000000,2023-02-06T14:26:38.000000000,0.000136,0.441237,0.000152,0.374298,0.0,0.335058,0.270256,0.311413,0.272752,0.312519,0.003782,0.195562,0.272752,0.312519,0.0,0.201895,0.0,0.201895,0.0,0.201895,0.0,0.201895,0.0,0.201895,0.0,0.201895,0.0,0.201895,1
36,2023-02-06T14:26:10.000000000,2023-02-06T14:27:08.000000000,0.016536,0.525003,0.015487,0.467081,0.0,0.252422,0.252159,0.275679,0.254284,0.27642,0.030335,0.295686,0.254284,0.27642,0.0,0.151854,0.0,0.151854,0.0,0.151854,0.0,0.151854,0.0,0.151854,0.0,0.151854,0.0,0.151854,1
37,2023-02-06T14:26:40.000000000,2023-02-06T14:27:38.000000000,0.001377,0.383044,0.001626,0.31387,0.0,0.280754,0.243776,0.259514,0.246168,0.259115,0.015151,0.220163,0.246168,0.259115,0.0,0.176246,0.0,0.176246,0.0,0.176246,0.0,0.176246,0.0,0.176246,0.0,0.176246,0.0,0.176246,1
38,2023-02-06T14:27:10.000000000,2023-02-06T14:28:08.000000000,0.012211,0.510343,0.009814,0.448787,0.0,0.220908,0.259283,0.308662,0.261607,0.308939,0.01696,0.186368,0.261607,0.308939,0.0,0.215686,0.0,0.215686,0.0,0.215686,0.0,0.215686,0.0,0.215686,0.0,0.215686,0.0,0.215686,1
39,2023-02-06T14:27:40.000000000,2023-02-06T14:28:38.000000000,0.007455,0.499594,0.006024,0.443038,0.0,0.20639,0.255979,0.264375,0.258176,0.263283,0.025444,0.295592,0.258176,0.263283,0.0,0.155425,0.0,0.155425,0.0,0.155425,0.0,0.155425,0.0,0.155425,0.0,0.155425,0.0,0.155425,1
40,2023-02-06T14:28:10.000000000,2023-02-06T14:29:08.000000000,0.012037,0.47629,0.010559,0.417358,0.0,0.234266,0.230874,0.235607,0.232882,0.233917,0.038629,0.192525,0.232882,0.233917,0.0,0.207686,0.0,0.207686,0.0,0.207686,0.0,0.207686,0.0,0.207686,0.0,0.207686,0.0,0.207686,1
41,2023-02-06T14:28:40.000000000,2023-02-06T14:29:38.000000000,0.014578,0.573376,0.014704,0.523579,0.0,0.166479,0.204508,0.268096,0.206784,0.268186,0.025501,0.270746,0.206784,0.268186,0.0,0.173023,0.0,0.173023,0.0,0.173023,0.0,0.173023,0.0,0.173023,0.0,0.173023,0.0,0.173023,1
42,2023-02-06T14:29:10.000000000,2023-02-06T14:30:08.000000000,2.2e-05,0.478446,6.4e-05,0.422813,0.0,0.229378,0.189685,0.228698,0.192507,0.228712,0.000462,0.296562,0.192507,0.228712,0.0,0.147092,0.0,0.147092,0.0,0.147092,0.0,0.147092,0.0,0.147092,0.0,0.147092,0.0,0.147092,1
43,2023-02-06T14:29:40.000000000,2023-02-06T14:30:38.000000000,0.000435,0.485541,0.000429,0.423458,0.0,0.253479,0.185111,0.186313,0.187934,0.186195,0.001124,0.250694,0.187934,0.186195,0.0,0.183681,0.0,0.183681,0.0,0.183681,0.0,0.183681,0.0,0.183681,0.0,0.183681,0.0,0.183681,1
44,2023-02-06T14:30:10.000000000,2023-02-06T14:31:08.000000000,0.00016,0.506488,0.000268,0.446573,0.0,0.226543,0.17582,0.162485,0.178318,0.161333,0.016719,0.302775,0.178318,0.161333,0.0,0.172473,0.0,0.172473,0.0,0.172473,0.0,0.172473,0.0,0.172473,0.0,0.172473,0.0,0.172473,1
45,2023-02-06T14:30:40.000000000,2023-02-06T14:31:38.000000000,0.024019,0.529509,0.020589,0.47259,0.0,0.201633,0.148987,0.137057,0.149794,0.13373,0.080758,0.296307,0.149794,0.13373,0.0,0.194951,0.0,0.194951,0.0,0.194951,0.0,0.194951,0.0,0.194951,0.0,0.194951,0.0,0.194951,1
46,2023-02-06T14:31:10.000000000,2023-02-06T14:32:08.000000000,0.027695,0.516138,0.024008,0.455433,0.0,0.237578,0.109432,0.140047,0.110334,0.139409,0.061846,0.317698,0.110334,0.139409,0.0,0.150297,0.0,0.150297,0.0,0.150297,0.0,0.150297,0.0,0.150297,0.0,0.150297,0.0,0.150297,1
47,2023-02-06T14:31:40.000000000,2023-02-06T14:32:38.000000000,0.010643,0.428921,0.008281,0.362675,0.0,0.270388,0.078321,0.090142,0.080175,0.08903,0.028339,0.2355,0.080175,0.08903,0.0,0.194374,0.0,0.194374,0.0,0.194374,0.0,0.194374,0.0,0.194374,0.0,0.194374,0.0,0.194374,1
48,2023-02-06T14:32:10.000000000,2023-02-06T14:33:08.000000000,0.001053,0.572414,0.001282,0.516837,0.0,0.187154,0.072616,0.137521,0.074899,0.133374,0.018575,0.293939,0.074899,0.133374,0.0,0.192432,0.0,0.192432,0.0,0.192432,0.0,0.192432,0.0,0.192432,0.0,0.192432,0.0,0.192432,1
49,2023-02-06T14:32:40.000000000,2023-02-06T14:33:38.000000000,0.025576,0.48488,0.021524,0.417302,0.0,0.304148,0.101183,0.223447,0.101583,0.223624,0.071279,0.410346,0.101583,0.223624,0.0,0.121961,0.0,0.121961,0.0,0.121961,0.0,0.121961,0.0,0.121961,0.0,0.121961,0.0,0.121961,1
50,2023-02-06T14:33:10.000000000,2023-02-06T14:34:08.000000000,0.030923,0.40259,0.025042,0.332289,0.0,0.322475,0.143619,0.161993,0.144223,0.163035,0.08598,0.188634,0.144223,0.163035,0.0,0.226266,0.0,0.226266,0.0,0.226266,0.0,0.226266,0.0,0.226266,0.0,0.226266,0.0,0.226266,1
51,2023-02-06T14:33:40.000000000,2023-02-06T14:34:38.000000000,0.011778,0.596033,0.009783,0.547401,0.0,0.155727,0.173775,0.192407,0.176215,0.189781,0.019331,0.224631,0.176215,0.189781,0.0,0.184732,0.0,0.184732,0.0,0.184732,0.0,0.184732,0.0,0.184732,0.0,0.184732,0.0,0.184732,1
52,2023-02-06T14:34:10.000000000,2023-02-06T14:35:08.000000000,0.000624,0.500731,0.00047,0.444926,0.0,0.246007,0.185772,0.28936,0.18858,0.288396,0.001716,0.371706,0.18858,0.288396,0.0,0.132277,0.0,0.132277,0.0,0.132277,0.0,0.132277,0.0,0.132277,0.0,0.132277,0.0,0.132277,1
53,2023-02-06T14:34:40.000000000,2023-02-06T14:35:38.000000000,0.026594,0.489607,0.02571,0.429177,0.0,0.243546,0.205782,0.278261,0.207829,0.277131,0.036999,0.299066,0.207829,0.277131,0.0,0.180562,0.0,0.180562,0.0,0.180562,0.0,0.180562,0.0,0.180562,0.0,0.180562,0.0,0.180562,1
54,2023-02-06T14:35:10.000000000,2023-02-06T14:36:08.000000000,0.008797,0.491448,0.008334,0.429523,0.0,0.227249,0.2387,0.321132,0.240488,0.319921,0.051123,0.349572,0.240488,0.319921,0.0,0.146382,0.0,0.146382,0.0,0.146382,0.0,0.146382,0.0,0.146382,0.0,0.146382,0.0,0.146382,1
55,2023-02-06T14:35:40.000000000,2023-02-06T14:36:38.000000000,0.016327,0.435295,0.013402,0.380069,0.0,0.219319,0.273536,0.363718,0.275203,0.366023,0.058272,0.22929,0.275203,0.366023,0.0,0.223665,0.0,0.223665,0.0,0.223665,0.0,0.223665,0.0,0.223665,0.0,0.223665,0.0,0.223665,1
56,2023-02-06T14:36:10.000000000,2023-02-06T14:37:08.000000000,0.007808,0.628084,0.014886,0.590471,0.0,0.074765,0.306875,0.307879,0.308764,0.30953,0.040137,0.235509,0.308764,0.30953,0.0,0.17769,0.0,0.17769,0.0,0.17769,0.0,0.17769,0.0,0.17769,0.0,0.17769,0.0,0.17769,1
57,2023-02-06T14:36:40.000000000,2023-02-06T14:37:38.000000000,0.026645,0.496486,0.024275,0.436973,0.0,0.252127,0.339852,0.357979,0.341697,0.354604,0.038479,0.400229,0.341697,0.354604,0.0,0.107945,0.0,0.107945,0.0,0.107945,0.0,0.107945,0.0,0.107945,0.0,0.107945,0.0,0.107945,1
58,2023-02-06T14:37:10.000000000,2023-02-06T14:38:08.000000000,0.000381,0.402133,0.000635,0.333459,0.0,0.303306,0.360354,0.465117,0.362552,0.464084,0.003772,0.196239,0.362552,0.464084,0.0,0.234172,0.0,0.234172,0.0,0.234172,0.0,0.234172,0.0,0.234172,0.0,0.234172,0.0,0.234172,1
59,2023-02-06T14:37:40.000000000,2023-02-06T14:38:38.000000000,0.000119,0.638404,0.000104,0.594628,0.0,0.133277,0.36691,0.445592,0.369114,0.448259,0.00135,0.261208,0.369114,0.448259,0.0,0.168572,0.0,0.168572,0.0,0.168572,0.0,0.168572,0.0,0.168572,0.0,0.168572,0.0,0.168572,1
