segment_idx,segment_start,segment_end,i3_photoresistor_psd_peak_baseband,i3_photoresistor_psd_peak_fm_demodulated,i3_photoresistor_psd_mean_energy_baseband,i3_photoresistor_psd_mean_energy_fm_demodulated,i3_photoresistor_psd_peak_freq_baseband,i3_photoresistor_psd_peak_freq_fm_demodulated,i3_photoresistor_rms_baseband,i3_photoresistor_rms_fm_demodulated,i3_photoresistor_mean_baseband,i3_photoresistor_mean_fm_demodulated,i3_photoresistor_variance_baseband,i3_photoresistor_variance_fm_demodulated,i3_photoresistor_fft_peak_baseband,i3_photoresistor_fft_peak_fm_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_fm_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_fm_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_fm_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_fm_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_fm_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_fm_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_fm_demodulated,current_state_binary
60,2023-02-06T14:38:10.000000000,2023-02-06T14:39:08.000000000,0.025006,0.551574,0.021336,0.491721,0.0,0.414235,0.388113,0.411192,0.389728,0.412327,0.049659,0.463951,0.389728,0.412327,0.0,0.118633,0.0,0.118633,0.0,0.118633,0.0,0.118633,0.0,0.118633,0.0,0.118633,0.0,0.118633,1
61,2023-02-06T14:38:40.000000000,2023-02-06T14:39:38.000000000,0.04895,0.466474,0.043033,0.399635,0.0,0.6567,0.438056,0.502063,0.438635,0.500114,0.146494,0.343297,0.438635,0.500114,0.0,0.19105,0.0,0.19105,0.0,0.19105,0.0,0.19105,0.0,0.19105,0.0,0.19105,0.0,0.19105,1
62,2023-02-06T14:39:10.000000000,2023-02-06T14:40:08.000000000,0.033662,0.535005,0.028713,0.485057,0.0,0.583768,0.495319,0.570314,0.496224,0.569356,0.103199,0.252156,0.496224,0.569356,0.0,0.169455,0.0,0.169455,0.0,0.169455,0.0,0.169455,0.0,0.169455,0.0,0.169455,0.0,0.169455,1
63,2023-02-06T14:39:40.000000000,2023-02-06T14:40:38.000000000,0.006115,0.494446,0.008724,0.441838,0.666667,0.374986,0.526365,0.543857,0.527947,0.543845,0.010712,0.259092,0.527947,0.543845,0.0,0.172443,0.0,0.172443,0.0,0.172443,0.0,0.172443,0.0,0.172443,0.0,0.172443,0.0,0.172443,1
64,2023-02-06T14:40:10.000000000,2023-02-06T14:41:08.000000000,0.006542,0.509302,0.011652,0.456277,0.0,0.281056,0.524406,0.509023,0.525986,0.508392,0.011764,0.245512,0.525986,0.508392,0.0,0.1656,0.0,0.1656,0.0,0.1656,0.0,0.1656,0.0,0.1656,0.0,0.1656,0.0,0.1656,1
65,2023-02-06T14:40:40.000000000,2023-02-06T14:41:38.000000000,0.000795,0.490944,0.000857,0.434866,0.0,0.26855,0.509474,0.512272,0.511083,0.512077,0.014234,0.288439,0.511083,0.512077,0.0,0.163878,0.0,0.163878,0.0,0.163878,0.0,0.163878,0.0,0.163878,0.0,0.163878,0.0,0.163878,1
66,2023-02-06T14:41:10.000000000,2023-02-06T14:42:08.000000000,0.018653,0.437781,0.017367,0.382463,0.0,0.253592,0.4923,0.515102,0.493917,0.517758,0.019875,0.253165,0.493917,0.517758,0.0,0.195559,0.0,0.195559,0.0,0.195559,0.0,0.195559,0.0,0.195559,0.0,0.195559,0.0,0.195559,1
67,2023-02-06T14:41:40.000000000,2023-02-06T14:42:38.000000000,0.00486,0.475376,0.009423,0.427646,0.0,0.235517,0.484069,0.510303,0.485823,0.514935,0.006944,0.182719,0.485823,0.514935,0.0,0.213843,0.0,0.213843,0.0,0.213843,0.0,0.213843,0.0,0.213843,0.0,0.213843,0.0,0.213843,1
68,2023-02-06T14:42:10.000000000,2023-02-06T14:43:08.000000000,0.017847,0.540175,0.028768,0.489381,0.0,0.149695,0.47988,0.50307,0.481565,0.505464,0.016466,0.183646,0.481565,0.505464,0.0,0.187868,0.0,0.187868,0.0,0.187868,0.0,0.187868,0.0,0.187868,0.0,0.187868,0.0,0.187868,1
69,2023-02-06T14:42:40.000000000,2023-02-06T14:43:38.000000000,0.006801,0.516921,0.006435,0.462908,0.0,0.161071,0.466876,0.482095,0.46862,0.480792,0.014453,0.259721,0.46862,0.480792,0.0,0.1468,0.0,0.1468,0.0,0.1468,0.0,0.1468,0.0,0.1468,0.0,0.1468,0.0,0.1468,1
70,2023-02-06T14:43:10.000000000,2023-02-06T14:44:08.000000000,0.000216,0.464617,0.000294,0.408165,0.0,0.246962,0.454772,0.465488,0.45661,0.463569,0.008441,0.273517,0.45661,0.463569,0.0,0.183946,0.0,0.183946,0.0,0.183946,0.0,0.183946,0.0,0.183946,0.0,0.183946,0.0,0.183946,1
71,2023-02-06T14:43:40.000000000,2023-02-06T14:44:38.000000000,0.010119,0.518282,0.013123,0.463671,0.0,0.205697,0.439085,0.45563,0.440832,0.45531,0.023499,0.228865,0.440832,0.45531,0.0,0.166598,0.0,0.166598,0.0,0.166598,0.0,0.166598,0.0,0.166598,0.0,0.166598,0.0,0.166598,1
72,2023-02-06T14:44:10.000000000,2023-02-06T14:45:08.000000000,0.002029,0.478774,0.002672,0.42143,0.0,0.258484,0.422514,0.422854,0.424465,0.423374,0.007706,0.28151,0.424465,0.423374,0.0,0.147353,0.0,0.147353,0.0,0.147353,0.0,0.147353,0.0,0.147353,0.0,0.147353,0.0,0.147353,1
73,2023-02-06T14:44:40.000000000,2023-02-06T14:45:38.000000000,0.000837,0.438917,0.000866,0.374568,0.0,0.304829,0.414288,0.396341,0.416332,0.395921,0.001119,0.270681,0.416332,0.395921,0.0,0.190787,0.0,0.190787,0.0,0.190787,0.0,0.190787,0.0,0.190787,0.0,0.190787,0.0,0.190787,1
74,2023-02-06T14:45:10.000000000,2023-02-06T14:46:08.000000000,0.000706,0.526039,0.000709,0.471267,0.0,0.229001,0.405654,0.414692,0.40762,0.413841,0.011663,0.238348,0.40762,0.413841,0.0,0.161033,0.0,0.161033,0.0,0.161033,0.0,0.161033,0.0,0.161033,0.0,0.161033,0.0,0.161033,1
75,2023-02-06T14:45:40.000000000,2023-02-06T14:46:38.000000000,0.017073,0.47152,0.015829,0.411461,0.0,0.261165,0.385767,0.424229,0.387593,0.425772,0.03051,0.312209,0.387593,0.425772,0.0,0.162142,0.0,0.162142,0.0,0.162142,0.0,0.162142,0.0,0.162142,0.0,0.162142,0.0,0.162142,1
76,2023-02-06T14:46:10.000000000,2023-02-06T14:47:08.000000000,0.001296,0.438209,0.001275,0.369057,0.0,0.283951,0.379242,0.409547,0.381219,0.413591,0.018276,0.307574,0.381219,0.413591,0.0,0.201464,0.0,0.201464,0.0,0.201464,0.0,0.201464,0.0,0.201464,0.0,0.201464,0.0,0.201464,1
77,2023-02-06T14:46:40.000000000,2023-02-06T14:47:38.000000000,0.017421,0.554958,0.013094,0.501109,0.0,0.198669,0.403622,0.441502,0.405221,0.442574,0.047913,0.307075,0.405221,0.442574,0.0,0.187195,0.0,0.187195,0.0,0.187195,0.0,0.187195,0.0,0.187195,0.0,0.187195,0.0,0.187195,1
78,2023-02-06T14:47:10.000000000,2023-02-06T14:48:08.000000000,0.026306,0.567197,0.024206,0.508716,0.0,0.179369,0.446375,0.532499,0.447419,0.528879,0.096323,0.467251,0.447419,0.528879,0.0,0.152665,0.0,0.152665,0.0,0.152665,0.0,0.152665,0.0,0.152665,0.0,0.152665,0.0,0.152665,1
79,2023-02-06T14:47:40.000000000,2023-02-06T14:48:38.000000000,0.030579,0.513043,0.026617,0.438966,0.0,0.26212,0.503341,0.621909,0.503853,0.618424,0.148685,0.599011,0.503853,0.618424,0.0,0.177682,0.0,0.177682,0.0,0.177682,0.0,0.177682,0.0,0.177682,0.0,0.177682,0.0,0.177682,1
80,2023-02-06T14:48:10.000000000,2023-02-06T14:49:08.000000000,0.055133,0.575754,0.044499,0.512371,0.0,0.23949,0.569385,0.677758,0.569428,0.677845,0.200363,0.603175,0.569428,0.677845,0.0,0.20552,0.0,0.20552,0.0,0.20552,0.0,0.20552,0.0,0.20552,0.0,0.20552,0.0,0.20552,1
81,2023-02-06T14:48:40.000000000,2023-02-06T14:49:38.000000000,0.079527,0.629834,0.067204,0.57181,0.0,0.181181,0.641762,0.710299,0.641509,0.712875,0.23217,0.587832,0.641509,0.712875,0.0,0.143001,0.0,0.143001,0.0,0.143001,0.0,0.143001,0.0,0.143001,0.0,0.143001,0.0,0.143001,1
82,2023-02-06T14:49:10.000000000,2023-02-06T14:50:08.000000000,0.051937,0.534938,0.044637,0.464765,0.0,0.300155,0.720299,0.759085,0.719721,0.760818,0.269296,0.593316,0.719721,0.760818,0.0,0.170157,0.0,0.170157,0.0,0.170157,0.0,0.170157,0.0,0.170157,0.0,0.170157,0.0,0.170157,1
83,2023-02-06T14:49:40.000000000,2023-02-06T14:50:38.000000000,0.055479,0.518371,0.047096,0.458739,0.0,0.287799,0.797334,0.84943,0.796897,0.849704,0.220509,0.496485,0.796897,0.849704,0.0,0.214724,0.0,0.214724,0.0,0.214724,0.0,0.214724,0.0,0.214724,0.0,0.214724,0.0,0.214724,1
84,2023-02-06T14:50:10.000000000,2023-02-06T14:51:08.000000000,0.061687,0.620428,0.055759,0.575383,0.0,0.168762,0.856854,0.941317,0.85672,0.941875,0.133354,0.359292,0.85672,0.941875,0.0,0.142963,0.0,0.142963,0.0,0.142963,0.0,0.142963,0.0,0.142963,0.0,0.142963,0.0,0.142963,1
85,2023-02-06T14:50:40.000000000,2023-02-06T14:51:38.000000000,0.056492,0.572131,0.051,0.513262,0.0,0.24596,0.911461,0.987736,0.911031,0.98822,0.164695,0.334411,0.911031,0.98822,0.0,0.153327,0.0,0.153327,0.0,0.153327,0.0,0.153327,0.0,0.153327,0.0,0.153327,0.0,0.153327,1
86,2023-02-06T14:51:10.000000000,2023-02-06T14:52:08.000000000,0.039344,0.440181,0.038548,0.376777,0.0,0.267428,0.968474,1.0,0.968132,1.0,0.109521,0.319582,0.968132,1.0,0.0,0.188263,0.0,0.188263,0.0,0.188263,0.0,0.188263,0.0,0.188263,0.0,0.188263,0.0,0.188263,1
87,2023-02-06T14:51:40.000000000,2023-02-06T14:52:38.000000000,0.003115,0.515314,0.002609,0.462471,0.0,0.215511,1.0,0.981877,1.0,0.984087,0.006207,0.385859,1.0,0.984087,0.0,0.178282,0.0,0.178282,0.0,0.178282,0.0,0.178282,0.0,0.178282,0.0,0.178282,0.0,0.178282,1
88,2023-02-06T14:52:10.000000000,2023-02-06T14:53:08.000000000,0.003073,0.652139,0.002998,0.585972,0.0,0.214335,0.988812,0.936562,0.988487,0.941095,0.091292,0.512997,0.988487,0.941095,0.0,0.173708,0.0,0.173708,0.0,0.173708,0.0,0.173708,0.0,0.173708,0.0,0.173708,0.0,0.173708,1
89,2023-02-06T14:52:40.000000000,2023-02-06T14:53:38.000000000,0.146947,0.585047,0.119567,0.509617,0.0,0.239903,0.927761,0.896818,0.926565,0.899175,0.32348,0.503089,0.926565,0.899175,0.0,0.172692,0.0,0.172692,0.0,0.172692,0.0,0.172692,0.0,0.172692,0.0,0.172692,0.0,0.172692,1
90,2023-02-06T14:53:10.000000000,2023-02-06T14:54:08.000000000,0.022882,0.500522,0.02595,0.440322,0.0,0.245438,0.863395,0.855405,0.86342,0.854208,0.09717,0.431245,0.86342,0.854208,0.0,0.196504,0.0,0.196504,0.0,0.196504,0.0,0.196504,0.0,0.196504,0.0,0.196504,0.0,0.196504,1
91,2023-02-06T14:53:40.000000000,2023-02-06T14:54:38.000000000,0.057982,0.608988,0.052198,0.549795,0.0,0.198265,0.824141,0.774244,0.824342,0.773273,0.084971,0.405997,0.824342,0.773273,0.0,0.156262,0.0,0.156262,0.0,0.156262,0.0,0.156262,0.0,0.156262,0.0,0.156262,0.0,0.156262,1
92,2023-02-06T14:54:10.000000000,2023-02-06T14:55:08.000000000,0.044739,0.585721,0.034319,0.525519,0.0,0.25434,0.777542,0.682508,0.777856,0.683081,0.089167,0.369875,0.777856,0.683081,0.0,0.150176,0.0,0.150176,0.0,0.150176,0.0,0.150176,0.0,0.150176,0.0,0.150176,0.0,0.150176,1
93,2023-02-06T14:54:40.000000000,2023-02-06T14:55:38.000000000,0.029378,0.51975,0.027899,0.46096,0.0,0.300596,0.72608,0.644122,0.7263,0.645694,0.130311,0.344732,0.7263,0.645694,0.0,0.194644,0.0,0.194644,0.0,0.194644,0.0,0.194644,0.0,0.194644,0.0,0.194644,0.0,0.194644,1
94,2023-02-06T14:55:10.000000000,2023-02-06T14:56:08.000000000,0.076536,0.546936,0.066939,0.485053,0.0,0.231073,0.669891,0.674167,0.670047,0.677308,0.161589,0.316147,0.670047,0.677308,0.0,0.169785,0.0,0.169785,0.0,0.169785,0.0,0.169785,0.0,0.169785,0.0,0.169785,0.0,0.169785,1
95,2023-02-06T14:55:40.000000000,2023-02-06T14:56:38.000000000,0.007824,0.505715,0.009333,0.458275,0.0,0.208221,0.630872,0.710582,0.632022,0.713647,0.023434,0.246658,0.632022,0.713647,0.0,0.158934,0.0,0.158934,0.0,0.158934,0.0,0.158934,0.0,0.158934,0.0,0.158934,0.0,0.158934,1
96,2023-02-06T14:56:10.000000000,2023-02-06T14:57:08.000000000,0.000679,0.512233,0.000723,0.449696,0.0,0.236802,0.622828,0.681233,0.62416,0.681852,0.000198,0.225564,0.62416,0.681852,0.0,0.165111,0.0,0.165111,0.0,0.165111,0.0,0.165111,0.0,0.165111,0.0,0.165111,0.0,0.165111,1
97,2023-02-06T14:56:40.000000000,2023-02-06T14:57:38.000000000,0.000388,0.456085,0.000295,0.389272,0.0,0.223614,0.622224,0.617342,0.623557,0.616706,0.000356,0.318679,0.623557,0.616706,0.0,0.191771,0.0,0.191771,0.0,0.191771,0.0,0.191771,0.0,0.191771,0.0,0.191771,0.0,0.191771,1
98,2023-02-06T14:57:10.000000000,2023-02-06T14:58:08.000000000,0.011732,0.515954,0.010239,0.492812,0.0,0.125437,0.634417,0.591692,0.635552,0.590713,0.023792,0.359618,0.635552,0.590713,0.0,0.15828,0.0,0.15828,0.0,0.15828,0.0,0.15828,0.0,0.15828,0.0,0.15828,0.0,0.15828,1
99,2023-02-06T14:57:40.000000000,2023-02-06T14:58:38.000000000,0.020695,0.662504,0.031842,0.615521,0.0,0.183053,0.642363,0.64203,0.643524,0.641778,0.015956,0.353777,0.643524,0.641778,0.0,0.112652,0.0,0.112652,0.0,0.112652,0.0,0.112652,0.0,0.112652,0.0,0.112652,0.0,0.112652,1
100,2023-02-06T14:58:10.000000000,2023-02-06T14:59:08.000000000,0.022569,0.50942,0.023874,0.419344,0.0,0.322549,0.657897,0.756619,0.65832,0.758239,0.123482,0.512473,0.65832,0.758239,0.0,0.223369,0.0,0.223369,0.0,0.223369,0.0,0.223369,0.0,0.223369,0.0,0.223369,0.0,0.223369,1
101,2023-02-06T14:58:40.000000000,2023-02-06T14:59:38.000000000,0.078017,0.467131,0.057829,0.418792,0.0,0.22603,0.727723,0.846781,0.726475,0.846849,0.383113,0.57495,0.726475,0.846849,0.0,0.206821,0.0,0.206821,0.0,0.206821,0.0,0.206821,0.0,0.206821,0.0,0.206821,0.0,0.206821,1
102,2023-02-06T14:59:10.000000000,2023-02-06T15:00:08.000000000,0.045241,0.619059,0.042293,0.580846,0.0,0.209352,0.793734,0.87427,0.794011,0.873644,0.0874,0.327709,0.794011,0.873644,0.0,0.143278,0.0,0.143278,0.0,0.143278,0.0,0.143278,0.0,0.143278,0.0,0.143278,0.0,0.143278,1
103,2023-02-06T14:59:40.000000000,2023-02-06T15:00:38.000000000,0.033204,0.496642,0.034907,0.424818,0.0,0.335966,0.833781,0.867557,0.834052,0.870883,0.065514,0.280783,0.834052,0.870883,0.0,0.208821,0.0,0.208821,0.0,0.208821,0.0,0.208821,0.0,0.208821,0.0,0.208821,0.0,0.208821,1
104,2023-02-06T15:00:10.000000000,2023-02-06T15:01:08.000000000,0.000438,0.504013,0.000745,0.446774,0.0,0.233781,0.8495,0.804839,0.849895,0.808201,0.03071,0.503477,0.849895,0.808201,0.0,0.181111,0.0,0.181111,0.0,0.181111,0.0,0.181111,0.0,0.181111,0.0,0.181111,0.0,0.181111,1
105,2023-02-06T15:00:40.000000000,2023-02-06T15:01:38.000000000,0.052057,0.619878,0.049255,0.574515,0.0,0.208729,0.810368,0.723969,0.810005,0.720604,0.201094,0.410342,0.810005,0.720604,0.0,0.142124,0.0,0.142124,0.0,0.142124,0.0,0.142124,0.0,0.142124,0.0,0.142124,0.0,0.142124,1
106,2023-02-06T15:01:10.000000000,2023-02-06T15:02:08.000000000,0.062495,0.472772,0.056217,0.393221,0.0,0.311486,0.756763,0.727364,0.757221,0.722667,0.073853,0.164526,0.757221,0.722667,0.0,0.193563,0.0,0.193563,0.0,0.193563,0.0,0.193563,0.0,0.193563,0.0,0.193563,0.0,0.193563,1
107,2023-02-06T15:01:40.000000000,2023-02-06T15:02:38.000000000,0.00097,0.382963,0.000879,0.325183,0.0,0.173168,0.735849,0.798097,0.736782,0.800811,0.001621,0.285412,0.736782,0.800811,0.0,0.194291,0.0,0.194291,0.0,0.194291,0.0,0.194291,0.0,0.194291,0.0,0.194291,0.0,0.194291,1
108,2023-02-06T15:02:10.000000000,2023-02-06T15:03:08.000000000,0.001999,0.575777,0.001981,0.551902,0.0,0.088478,0.738162,0.836648,0.739078,0.843836,0.003159,0.422134,0.739078,0.843836,0.0,0.104015,0.0,0.104015,0.0,0.104015,0.0,0.104015,0.0,0.104015,0.0,0.104015,0.0,0.104015,1
109,2023-02-06T15:02:40.000000000,2023-02-06T15:03:38.000000000,0.020903,0.61092,0.018914,0.548892,0.0,0.275233,0.760002,0.779395,0.760553,0.781542,0.055381,0.26539,0.760553,0.781542,0.0,0.15202,0.0,0.15202,0.0,0.15202,0.0,0.15202,0.0,0.15202,0.0,0.15202,0.0,0.15202,1
110,2023-02-06T15:03:10.000000000,2023-02-06T15:04:08.000000000,0.023141,0.448571,0.024226,0.369079,0.0,0.27513,0.784486,0.730796,0.785083,0.72908,0.032836,0.167659,0.785083,0.72908,0.0,0.240365,0.0,0.240365,0.0,0.240365,0.0,0.240365,0.0,0.240365,0.0,0.240365,0.0,0.240365,1
111,2023-02-06T15:03:40.000000000,2023-02-06T15:04:38.000000000,0.046971,0.45767,0.043524,0.402701,0.0,0.233105,0.76867,0.765383,0.769116,0.767444,0.069707,0.305271,0.769116,0.767444,0.0,0.186021,0.0,0.186021,0.0,0.186021,0.0,0.186021,0.0,0.186021,0.0,0.186021,0.0,0.186021,1
112,2023-02-06T15:04:10.000000000,2023-02-06T15:05:08.000000000,0.000909,0.491348,0.001148,0.426358,0.0,0.285782,0.741143,0.78228,0.742009,0.787126,0.01007,0.294842,0.742009,0.787126,0.0,0.214518,0.0,0.214518,0.0,0.214518,0.0,0.214518,0.0,0.214518,0.0,0.214518,0.0,0.214518,1
113,2023-02-06T15:04:40.000000000,2023-02-06T15:05:38.000000000,0.042829,0.553553,0.037844,0.517849,0.0,0.214284,0.71445,0.6914,0.715014,0.6909,0.076797,0.352033,0.715014,0.6909,0.0,0.185347,0.0,0.185347,0.0,0.185347,0.0,0.185347,0.0,0.185347,0.0,0.185347,0.0,0.185347,1
114,2023-02-06T15:05:10.000000000,2023-02-06T15:06:08.000000000,0.066751,0.660991,0.071915,0.605347,0.0,0.308586,0.696776,0.618996,0.697603,0.613912,0.041462,0.351138,0.697603,0.613912,0.0,0.134146,0.0,0.134146,0.0,0.134146,0.0,0.134146,0.0,0.134146,0.0,0.134146,0.0,0.134146,1
115,2023-02-06T15:05:40.000000000,2023-02-06T15:06:38.000000000,0.048594,0.512725,0.0419,0.432947,0.0,0.307769,0.691666,0.680873,0.692461,0.682083,0.049203,0.251388,0.692461,0.682083,0.0,0.220434,0.0,0.220434,0.0,0.220434,0.0,0.220434,0.0,0.220434,0.0,0.220434,0.0,0.220434,1
116,2023-02-06T15:06:10.000000000,2023-02-06T15:07:08.000000000,0.029411,0.590845,0.024924,0.550172,0.0,0.179086,0.703179,0.819722,0.70374,0.834608,0.082542,0.368564,0.70374,0.834608,0.0,0.114075,0.0,0.114075,0.0,0.114075,0.0,0.114075,0.0,0.114075,0.0,0.114075,0.0,0.114075,1
117,2023-02-06T15:06:40.000000000,2023-02-06T15:07:38.000000000,0.031065,0.603405,0.030544,0.525296,0.0,0.278511,0.721144,0.819438,0.721905,0.822005,0.039754,0.273,0.721905,0.822005,0.0,0.178247,0.0,0.178247,0.0,0.178247,0.0,0.178247,0.0,0.178247,0.0,0.178247,0.0,0.178247,1
118,2023-02-06T15:07:10.000000000,2023-02-06T15:08:08.000000000,0.04727,0.366851,0.053777,0.32982,0.0,0.07009,0.735635,0.689908,0.736077,0.680467,0.087362,0.295953,0.736077,0.680467,0.0,0.177114,0.0,0.177114,0.0,0.177114,0.0,0.177114,0.0,0.177114,0.0,0.177114,0.0,0.177114,1
119,2023-02-06T15:07:40.000000000,2023-02-06T15:08:38.000000000,0.050071,0.651094,0.046961,0.639084,0.0,0.066017,0.772716,0.68741,0.77311,0.684796,0.077182,0.493568,0.77311,0.684796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
120,2023-02-06T15:08:10.000000000,2023-02-06T15:09:08.000000000,0.034754,0.511333,0.030667,0.444312,0.0,0.263481,0.768538,0.853955,0.768993,0.874258,0.06815,0.279711,0.768993,0.874258,0.0,0.276563,0.0,0.276563,0.0,0.276563,0.0,0.276563,0.0,0.276563,0.0,0.276563,0.0,0.276563,1
121,2023-02-06T15:08:40.000000000,2023-02-06T15:09:38.000000000,0.018894,0.360437,0.015206,0.34409,0.0,0.0,0.724551,0.83849,0.725093,0.832915,0.075483,0.335309,0.725093,0.832915,0.0,0.091132,0.0,0.091132,0.0,0.091132,0.0,0.091132,0.0,0.091132,0.0,0.091132,0.0,0.091132,1
122,2023-02-06T15:09:10.000000000,2023-02-06T15:10:08.000000000,0.017881,0.665871,0.015595,0.615688,0.0,0.400699,0.691543,0.572491,0.69242,0.54702,0.035909,0.457521,0.69242,0.54702,0.0,0.295361,0.0,0.295361,0.0,0.295361,0.0,0.295361,0.0,0.295361,0.0,0.295361,0.0,0.295361,1
123,2023-02-06T15:09:40.000000000,2023-02-06T15:10:38.000000000,0.000525,0.0,0.000564,0.0,0.0,0.704637,0.678577,0.32192,0.679714,0.271875,0.000605,0.216013,0.679714,0.271875,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
124,2023-02-06T15:10:10.000000000,2023-02-06T15:11:08.000000000,0.046335,0.0,0.046768,0.0,0.0,0.704637,0.663874,0.32192,0.664809,0.271875,0.040481,0.216013,0.664809,0.271875,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
