station,source,signal_col,scheme,SNR_dB,BER
EC_1,filtered,i3_photoresistor,AM,25.7,
EC_1,features,i3_photoresistor_psd_peak,AM,25.341,
EC_1,features,i3_photoresistor_psd_mean_energy,AM,25.329,
EC_1,features,i3_photoresistor_psd_peak_freq,AM,25.254,
EC_1,features,i3_photoresistor_rms,AM,27.731,
EC_1,features,i3_photoresistor_mean,AM,27.733,
EC_1,features,i3_photoresistor_variance,AM,25.656,
EC_1,features,i3_photoresistor_fft_peak,AM,27.733,
EC_1,features,current_task_duration_psd_peak,AM,25.091,
EC_1,features,current_task_duration_psd_mean_energy,AM,25.091,
EC_1,features,current_task_duration_psd_peak_freq,AM,25.091,
EC_1,features,current_task_duration_rms,AM,25.091,
EC_1,features,current_task_duration_mean,AM,25.091,
EC_1,features,current_task_duration_variance,AM,25.091,
EC_1,features,current_task_duration_fft_peak,AM,25.091,
EC_1,filtered,i3_photoresistor,FM,22.988,
EC_1,features,i3_photoresistor_psd_peak,FM,25.151,
EC_1,features,i3_photoresistor_psd_mean_energy,FM,25.148,
EC_1,features,i3_photoresistor_psd_peak_freq,FM,25.035,
EC_1,features,i3_photoresistor_rms,FM,25.123,
EC_1,features,i3_photoresistor_mean,FM,25.127,
EC_1,features,i3_photoresistor_variance,FM,25.121,
EC_1,features,i3_photoresistor_fft_peak,FM,25.127,
EC_1,features,current_task_duration_psd_peak,FM,25.091,
EC_1,features,current_task_duration_psd_mean_energy,FM,25.091,
EC_1,features,current_task_duration_psd_peak_freq,FM,25.091,
EC_1,features,current_task_duration_rms,FM,25.091,
EC_1,features,current_task_duration_mean,FM,25.091,
EC_1,features,current_task_duration_variance,FM,25.091,
EC_1,features,current_task_duration_fft_peak,FM,25.091,
EC_1,filtered,i3_photoresistor,ASK,19.069,0.00264
EC_1,features,i3_photoresistor_psd_peak,ASK,5.291,0.0
EC_1,features,i3_photoresistor_psd_mean_energy,ASK,5.291,0.0
EC_1,features,i3_photoresistor_psd_peak_freq,ASK,8.226,0.032
EC_1,features,i3_photoresistor_rms,ASK,21.095,0.016
EC_1,features,i3_photoresistor_mean,ASK,21.095,0.016
EC_1,features,i3_photoresistor_variance,ASK,9.319,0.008
EC_1,features,i3_photoresistor_fft_peak,ASK,21.095,0.016
EC_1,features,current_task_duration_psd_peak,ASK,-inf,0.0
EC_1,features,current_task_duration_psd_mean_energy,ASK,-inf,0.0
EC_1,features,current_task_duration_psd_peak_freq,ASK,-inf,0.0
EC_1,features,current_task_duration_rms,ASK,-inf,0.0
EC_1,features,current_task_duration_mean,ASK,-inf,0.0
EC_1,features,current_task_duration_variance,ASK,-inf,0.0
EC_1,features,current_task_duration_fft_peak,ASK,-inf,0.0
EC_1,filtered,i3_photoresistor,FSK,22.989,0.49868
EC_1,features,i3_photoresistor_psd_peak,FSK,25.059,0.488
EC_1,features,i3_photoresistor_psd_mean_energy,FSK,25.059,0.488
EC_1,features,i3_photoresistor_psd_peak_freq,FSK,25.035,0.496
EC_1,features,i3_photoresistor_rms,FSK,25.171,0.472
EC_1,features,i3_photoresistor_mean,FSK,25.171,0.472
EC_1,features,i3_photoresistor_variance,FSK,25.059,0.496
EC_1,features,i3_photoresistor_fft_peak,FSK,25.171,0.472
EC_1,features,current_task_duration_psd_peak,FSK,25.091,0.48
EC_1,features,current_task_duration_psd_mean_energy,FSK,25.091,0.48
EC_1,features,current_task_duration_psd_peak_freq,FSK,25.091,0.48
EC_1,features,current_task_duration_rms,FSK,25.091,0.48
EC_1,features,current_task_duration_mean,FSK,25.091,0.48
EC_1,features,current_task_duration_variance,FSK,25.091,0.48
EC_1,features,current_task_duration_fft_peak,FSK,25.091,0.48
EC_1,filtered,i3_photoresistor,PSK,22.99,0.0
EC_1,features,i3_photoresistor_psd_peak,PSK,25.091,0.0
EC_1,features,i3_photoresistor_psd_mean_energy,PSK,25.091,0.0
EC_1,features,i3_photoresistor_psd_peak_freq,PSK,25.091,0.0
EC_1,features,i3_photoresistor_rms,PSK,25.091,0.0
EC_1,features,i3_photoresistor_mean,PSK,25.091,0.0
EC_1,features,i3_photoresistor_variance,PSK,25.091,0.0
EC_1,features,i3_photoresistor_fft_peak,PSK,25.091,0.0
EC_1,features,current_task_duration_psd_peak,PSK,25.091,0.0
EC_1,features,current_task_duration_psd_mean_energy,PSK,25.091,0.0
EC_1,features,current_task_duration_psd_peak_freq,PSK,25.091,0.0
EC_1,features,current_task_duration_rms,PSK,25.091,0.0
EC_1,features,current_task_duration_mean,PSK,25.091,0.0
EC_1,features,current_task_duration_variance,PSK,25.091,0.0
EC_1,features,current_task_duration_fft_peak,PSK,25.091,0.0
HBW_1,filtered,i4_light_barrier,AM,23.599,
HBW_1,filtered,m1_speed,AM,26.956,
HBW_1,filtered,m2_speed,AM,25.844,
HBW_1,filtered,m3_speed,AM,25.937,
HBW_1,filtered,current_task,AM,24.657,
HBW_1,filtered,current_task_duration,AM,23.984,
HBW_1,filtered,current_sub_task,AM,24.499,
HBW_1,filtered,i1_light_barrier,AM,23.423,
HBW_1,filtered,i2_light_barrier,AM,22.98,
HBW_1,filtered,i3_light_barrier,AM,22.98,
HBW_1,filtered,i5_pos_switch,AM,24.984,
HBW_1,filtered,i6_pos_switch,AM,27.356,
HBW_1,filtered,i7_pos_switch,AM,23.31,
HBW_1,filtered,i8_pos_switch,AM,24.714,
HBW_1,filtered,m4_speed,AM,25.764,
HBW_1,filtered,current_pos_x,AM,25.901,
HBW_1,filtered,current_pos_y,AM,25.227,
HBW_1,filtered,target_pos_x,AM,25.559,
HBW_1,filtered,target_pos_y,AM,25.138,
HBW_1,filtered,amount_of_workpieces,AM,26.042,
HBW_1,features,m1_speed_psd_peak,AM,25.406,
HBW_1,features,m1_speed_psd_mean_energy,AM,25.535,
HBW_1,features,m1_speed_psd_peak_freq,AM,27.383,
HBW_1,features,m1_speed_rms,AM,29.886,
HBW_1,features,m1_speed_mean,AM,29.965,
HBW_1,features,m1_speed_variance,AM,25.408,
HBW_1,features,m1_speed_fft_peak,AM,29.965,
HBW_1,features,m2_speed_psd_peak,AM,26.197,
HBW_1,features,m2_speed_psd_mean_energy,AM,26.478,
HBW_1,features,m2_speed_psd_peak_freq,AM,27.79,
HBW_1,features,m2_speed_rms,AM,28.647,
HBW_1,features,m2_speed_mean,AM,29.157,
HBW_1,features,m2_speed_variance,AM,26.81,
HBW_1,features,m2_speed_fft_peak,AM,29.157,
HBW_1,features,m3_speed_psd_peak,AM,26.971,
HBW_1,features,m3_speed_psd_mean_energy,AM,27.172,
HBW_1,features,m3_speed_psd_peak_freq,AM,28.675,
HBW_1,features,m3_speed_rms,AM,29.455,
HBW_1,features,m3_speed_mean,AM,29.775,
HBW_1,features,m3_speed_variance,AM,27.548,
HBW_1,features,m3_speed_fft_peak,AM,29.775,
HBW_1,features,m4_speed_psd_peak,AM,26.546,
HBW_1,features,m4_speed_psd_mean_energy,AM,26.529,
HBW_1,features,m4_speed_psd_peak_freq,AM,28.003,
HBW_1,features,m4_speed_rms,AM,29.477,
HBW_1,features,m4_speed_mean,AM,29.728,
HBW_1,features,m4_speed_variance,AM,27.006,
HBW_1,features,m4_speed_fft_peak,AM,29.728,
HBW_1,features,current_pos_x_psd_peak,AM,26.652,
HBW_1,features,current_pos_x_psd_mean_energy,AM,26.406,
HBW_1,features,current_pos_x_psd_peak_freq,AM,27.452,
HBW_1,features,current_pos_x_rms,AM,28.207,
HBW_1,features,current_pos_x_mean,AM,27.828,
HBW_1,features,current_pos_x_variance,AM,27.191,
HBW_1,features,current_pos_x_fft_peak,AM,27.826,
HBW_1,features,current_pos_y_psd_peak,AM,26.984,
HBW_1,features,current_pos_y_psd_mean_energy,AM,26.918,
HBW_1,features,current_pos_y_psd_peak_freq,AM,27.356,
HBW_1,features,current_pos_y_rms,AM,27.985,
HBW_1,features,current_pos_y_mean,AM,27.568,
HBW_1,features,current_pos_y_variance,AM,27.135,
HBW_1,features,current_pos_y_fft_peak,AM,27.568,
HBW_1,features,target_pos_x_psd_peak,AM,26.227,
HBW_1,features,target_pos_x_psd_mean_energy,AM,26.251,
HBW_1,features,target_pos_x_psd_peak_freq,AM,27.809,
HBW_1,features,target_pos_x_rms,AM,27.97,
HBW_1,features,target_pos_x_mean,AM,27.497,
HBW_1,features,target_pos_x_variance,AM,27.119,
HBW_1,features,target_pos_x_fft_peak,AM,27.495,
HBW_1,features,target_pos_y_psd_peak,AM,27.112,
HBW_1,features,target_pos_y_psd_mean_energy,AM,27.09,
HBW_1,features,target_pos_y_psd_peak_freq,AM,27.399,
HBW_1,features,target_pos_y_rms,AM,27.991,
HBW_1,features,target_pos_y_mean,AM,27.564,
HBW_1,features,target_pos_y_variance,AM,27.084,
HBW_1,features,target_pos_y_fft_peak,AM,27.564,
HBW_1,features,current_task_duration_psd_peak,AM,25.258,
HBW_1,features,current_task_duration_psd_mean_energy,AM,25.26,
HBW_1,features,current_task_duration_psd_peak_freq,AM,27.445,
HBW_1,features,current_task_duration_rms,AM,25.391,
HBW_1,features,current_task_duration_mean,AM,25.899,
HBW_1,features,current_task_duration_variance,AM,25.337,
HBW_1,features,current_task_duration_fft_peak,AM,25.44,
HBW_1,filtered,i4_light_barrier,FM,22.99,
HBW_1,filtered,m1_speed,FM,22.983,
HBW_1,filtered,m2_speed,FM,22.985,
HBW_1,filtered,m3_speed,FM,22.981,
HBW_1,filtered,current_task,FM,22.98,
HBW_1,filtered,current_task_duration,FM,22.982,
HBW_1,filtered,current_sub_task,FM,22.981,
HBW_1,filtered,i1_light_barrier,FM,22.986,
HBW_1,filtered,i2_light_barrier,FM,22.98,
HBW_1,filtered,i3_light_barrier,FM,22.98,
HBW_1,filtered,i5_pos_switch,FM,22.988,
HBW_1,filtered,i6_pos_switch,FM,22.972,
HBW_1,filtered,i7_pos_switch,FM,22.99,
HBW_1,filtered,i8_pos_switch,FM,22.995,
HBW_1,filtered,m4_speed,FM,22.982,
HBW_1,filtered,current_pos_x,FM,22.984,
HBW_1,filtered,current_pos_y,FM,22.978,
HBW_1,filtered,target_pos_x,FM,22.98,
HBW_1,filtered,target_pos_y,FM,22.982,
HBW_1,filtered,amount_of_workpieces,FM,22.981,
HBW_1,features,m1_speed_psd_peak,FM,25.179,
HBW_1,features,m1_speed_psd_mean_energy,FM,25.042,
HBW_1,features,m1_speed_psd_peak_freq,FM,25.062,
HBW_1,features,m1_speed_rms,FM,25.127,
HBW_1,features,m1_speed_mean,FM,25.126,
HBW_1,features,m1_speed_variance,FM,25.177,
HBW_1,features,m1_speed_fft_peak,FM,25.126,
HBW_1,features,m2_speed_psd_peak,FM,25.15,
HBW_1,features,m2_speed_psd_mean_energy,FM,25.127,
HBW_1,features,m2_speed_psd_peak_freq,FM,25.109,
HBW_1,features,m2_speed_rms,FM,25.125,
HBW_1,features,m2_speed_mean,FM,25.11,
HBW_1,features,m2_speed_variance,FM,25.087,
HBW_1,features,m2_speed_fft_peak,FM,25.11,
HBW_1,features,m3_speed_psd_peak,FM,25.06,
HBW_1,features,m3_speed_psd_mean_energy,FM,25.11,
HBW_1,features,m3_speed_psd_peak_freq,FM,25.245,
HBW_1,features,m3_speed_rms,FM,25.133,
HBW_1,features,m3_speed_mean,FM,25.092,
HBW_1,features,m3_speed_variance,FM,25.164,
HBW_1,features,m3_speed_fft_peak,FM,25.092,
HBW_1,features,m4_speed_psd_peak,FM,25.126,
HBW_1,features,m4_speed_psd_mean_energy,FM,25.145,
HBW_1,features,m4_speed_psd_peak_freq,FM,24.922,
HBW_1,features,m4_speed_rms,FM,25.098,
HBW_1,features,m4_speed_mean,FM,25.124,
HBW_1,features,m4_speed_variance,FM,25.136,
HBW_1,features,m4_speed_fft_peak,FM,25.124,
HBW_1,features,current_pos_x_psd_peak,FM,25.079,
HBW_1,features,current_pos_x_psd_mean_energy,FM,25.079,
HBW_1,features,current_pos_x_psd_peak_freq,FM,25.082,
HBW_1,features,current_pos_x_rms,FM,25.098,
HBW_1,features,current_pos_x_mean,FM,25.174,
HBW_1,features,current_pos_x_variance,FM,25.138,
HBW_1,features,current_pos_x_fft_peak,FM,25.17,
HBW_1,features,current_pos_y_psd_peak,FM,25.122,
HBW_1,features,current_pos_y_psd_mean_energy,FM,25.064,
HBW_1,features,current_pos_y_psd_peak_freq,FM,25.045,
HBW_1,features,current_pos_y_rms,FM,25.119,
HBW_1,features,current_pos_y_mean,FM,25.112,
HBW_1,features,current_pos_y_variance,FM,25.097,
HBW_1,features,current_pos_y_fft_peak,FM,25.112,
HBW_1,features,target_pos_x_psd_peak,FM,25.236,
HBW_1,features,target_pos_x_psd_mean_energy,FM,25.234,
HBW_1,features,target_pos_x_psd_peak_freq,FM,25.233,
HBW_1,features,target_pos_x_rms,FM,25.126,
HBW_1,features,target_pos_x_mean,FM,25.165,
HBW_1,features,target_pos_x_variance,FM,25.18,
HBW_1,features,target_pos_x_fft_peak,FM,25.169,
HBW_1,features,target_pos_y_psd_peak,FM,25.168,
HBW_1,features,target_pos_y_psd_mean_energy,FM,25.181,
HBW_1,features,target_pos_y_psd_peak_freq,FM,25.371,
HBW_1,features,target_pos_y_rms,FM,25.109,
HBW_1,features,target_pos_y_mean,FM,25.108,
HBW_1,features,target_pos_y_variance,FM,25.053,
HBW_1,features,target_pos_y_fft_peak,FM,25.109,
HBW_1,features,current_task_duration_psd_peak,FM,25.097,
HBW_1,features,current_task_duration_psd_mean_energy,FM,25.097,
HBW_1,features,current_task_duration_psd_peak_freq,FM,25.3,
HBW_1,features,current_task_duration_rms,FM,25.09,
HBW_1,features,current_task_duration_mean,FM,25.137,
HBW_1,features,current_task_duration_variance,FM,25.054,
HBW_1,features,current_task_duration_fft_peak,FM,25.145,
HBW_1,filtered,i4_light_barrier,ASK,11.331,0.02746
HBW_1,filtered,m1_speed,ASK,22.893,0.00581
HBW_1,filtered,m2_speed,ASK,16.989,0.11721
HBW_1,filtered,m3_speed,ASK,21.196,0.17371
HBW_1,filtered,current_task,ASK,16.361,0.00528
HBW_1,filtered,current_task_duration,ASK,-7.512,0.00053
HBW_1,filtered,current_sub_task,ASK,16.586,0.02587
HBW_1,filtered,i1_light_barrier,ASK,9.793,0.0095
HBW_1,filtered,i2_light_barrier,ASK,-inf,0.0
HBW_1,filtered,i3_light_barrier,ASK,-inf,0.0
HBW_1,filtered,i5_pos_switch,ASK,17.159,0.02006
HBW_1,filtered,i6_pos_switch,ASK,21.882,0.04171
HBW_1,filtered,i7_pos_switch,ASK,8.457,0.03643
HBW_1,filtered,i8_pos_switch,ASK,16.387,0.0264
HBW_1,filtered,m4_speed,ASK,15.227,0.07075
HBW_1,filtered,current_pos_x,ASK,18.873,0.01214
HBW_1,filtered,current_pos_y,ASK,18.577,0.01637
HBW_1,filtered,target_pos_x,ASK,18.059,0.0169
HBW_1,filtered,target_pos_y,ASK,18.284,0.01848
HBW_1,filtered,amount_of_workpieces,ASK,21.052,0.00158
HBW_1,features,m1_speed_psd_peak,ASK,5.291,0.0
HBW_1,features,m1_speed_psd_mean_energy,ASK,12.251,0.072
HBW_1,features,m1_speed_psd_peak_freq,ASK,20.282,0.152
HBW_1,features,m1_speed_rms,ASK,25.021,0.008
HBW_1,features,m1_speed_mean,ASK,25.021,0.008
HBW_1,features,m1_speed_variance,ASK,9.319,0.008
HBW_1,features,m1_speed_fft_peak,ASK,25.021,0.008
HBW_1,features,m2_speed_psd_peak,ASK,10.654,0.056
HBW_1,features,m2_speed_psd_mean_energy,ASK,12.039,0.088
HBW_1,features,m2_speed_psd_peak_freq,ASK,19.009,0.2
HBW_1,features,m2_speed_rms,ASK,24.373,0.088
HBW_1,features,m2_speed_mean,ASK,24.974,0.008
HBW_1,features,m2_speed_variance,ASK,17.164,0.16
HBW_1,features,m2_speed_fft_peak,ASK,24.974,0.008
HBW_1,features,m3_speed_psd_peak,ASK,18.63,0.2
HBW_1,features,m3_speed_psd_mean_energy,ASK,20.234,0.2
HBW_1,features,m3_speed_psd_peak_freq,ASK,23.916,0.12
HBW_1,features,m3_speed_rms,ASK,24.974,0.008
HBW_1,features,m3_speed_mean,ASK,25.021,0.008
HBW_1,features,m3_speed_variance,ASK,20.8,0.184
HBW_1,features,m3_speed_fft_peak,ASK,25.021,0.008
HBW_1,features,m4_speed_psd_peak,ASK,15.597,0.08
HBW_1,features,m4_speed_psd_mean_energy,ASK,15.237,0.08
HBW_1,features,m4_speed_psd_peak_freq,ASK,21.194,0.296
HBW_1,features,m4_speed_rms,ASK,25.021,0.008
HBW_1,features,m4_speed_mean,ASK,25.021,0.008
HBW_1,features,m4_speed_variance,ASK,18.362,0.144
HBW_1,features,m4_speed_fft_peak,ASK,25.021,0.008
HBW_1,features,current_pos_x_psd_peak,ASK,18.055,0.144
HBW_1,features,current_pos_x_psd_mean_energy,ASK,14.844,0.104
HBW_1,features,current_pos_x_psd_peak_freq,ASK,16.534,0.128
HBW_1,features,current_pos_x_rms,ASK,21.417,0.072
HBW_1,features,current_pos_x_mean,ASK,20.229,0.12
HBW_1,features,current_pos_x_variance,ASK,19.638,0.08
HBW_1,features,current_pos_x_fft_peak,ASK,20.229,0.12
HBW_1,features,current_pos_y_psd_peak,ASK,20.214,0.184
HBW_1,features,current_pos_y_psd_mean_energy,ASK,20.234,0.184
HBW_1,features,current_pos_y_psd_peak_freq,ASK,15.992,0.144
HBW_1,features,current_pos_y_rms,ASK,22.532,0.16
HBW_1,features,current_pos_y_mean,ASK,21.47,0.192
HBW_1,features,current_pos_y_variance,ASK,19.981,0.144
HBW_1,features,current_pos_y_fft_peak,ASK,21.47,0.192
HBW_1,features,target_pos_x_psd_peak,ASK,15.463,0.072
HBW_1,features,target_pos_x_psd_mean_energy,ASK,15.091,0.088
HBW_1,features,target_pos_x_psd_peak_freq,ASK,18.848,0.248
HBW_1,features,target_pos_x_rms,ASK,20.587,0.104
HBW_1,features,target_pos_x_mean,ASK,19.078,0.08
HBW_1,features,target_pos_x_variance,ASK,19.062,0.072
HBW_1,features,target_pos_x_fft_peak,ASK,19.078,0.08
HBW_1,features,target_pos_y_psd_peak,ASK,19.981,0.192
HBW_1,features,target_pos_y_psd_mean_energy,ASK,19.981,0.192
HBW_1,features,target_pos_y_psd_peak_freq,ASK,16.234,0.168
HBW_1,features,target_pos_y_rms,ASK,22.532,0.16
HBW_1,features,target_pos_y_mean,ASK,21.535,0.184
HBW_1,features,target_pos_y_variance,ASK,19.75,0.144
HBW_1,features,target_pos_y_fft_peak,ASK,21.535,0.184
HBW_1,features,current_task_duration_psd_peak,ASK,7.132,0.016
HBW_1,features,current_task_duration_psd_mean_energy,ASK,7.132,0.016
HBW_1,features,current_task_duration_psd_peak_freq,ASK,16.926,0.16
HBW_1,features,current_task_duration_rms,ASK,9.319,0.016
HBW_1,features,current_task_duration_mean,ASK,9.319,0.016
HBW_1,features,current_task_duration_variance,ASK,9.319,0.016
HBW_1,features,current_task_duration_fft_peak,ASK,9.319,0.016
HBW_1,filtered,i4_light_barrier,FSK,22.946,0.48944
HBW_1,filtered,m1_speed,FSK,22.99,0.52059
HBW_1,filtered,m2_speed,FSK,22.914,0.50739
HBW_1,filtered,m3_speed,FSK,23.004,0.49261
HBW_1,filtered,current_task,FSK,22.984,0.48627
HBW_1,filtered,current_task_duration,FSK,22.979,0.47941
HBW_1,filtered,current_sub_task,FSK,22.993,0.48944
HBW_1,filtered,i1_light_barrier,FSK,23.015,0.47413
HBW_1,filtered,i2_light_barrier,FSK,22.984,0.47888
HBW_1,filtered,i3_light_barrier,FSK,22.984,0.47888
HBW_1,filtered,i5_pos_switch,FSK,22.966,0.49102
HBW_1,filtered,i6_pos_switch,FSK,23.012,0.51267
HBW_1,filtered,i7_pos_switch,FSK,22.965,0.48152
HBW_1,filtered,i8_pos_switch,FSK,23.016,0.49102
HBW_1,filtered,m4_speed,FSK,22.954,0.48891
HBW_1,filtered,current_pos_x,FSK,22.991,0.49366
HBW_1,filtered,current_pos_y,FSK,22.97,0.49472
HBW_1,filtered,target_pos_x,FSK,22.999,0.48416
HBW_1,filtered,target_pos_y,FSK,22.975,0.49208
HBW_1,filtered,amount_of_workpieces,FSK,22.982,0.49947
HBW_1,features,m1_speed_psd_peak,FSK,25.059,0.488
HBW_1,features,m1_speed_psd_mean_energy,FSK,25.04,0.504
HBW_1,features,m1_speed_psd_peak_freq,FSK,25.024,0.504
HBW_1,features,m1_speed_rms,FSK,25.091,0.512
HBW_1,features,m1_speed_mean,FSK,25.091,0.512
HBW_1,features,m1_speed_variance,FSK,25.059,0.496
HBW_1,features,m1_speed_fft_peak,FSK,25.091,0.512
HBW_1,features,m2_speed_psd_peak,FSK,25.167,0.464
HBW_1,features,m2_speed_psd_mean_energy,FSK,25.254,0.44
HBW_1,features,m2_speed_psd_peak_freq,FSK,24.948,0.552
HBW_1,features,m2_speed_rms,FSK,25.152,0.496
HBW_1,features,m2_speed_mean,FSK,25.123,0.504
HBW_1,features,m2_speed_variance,FSK,25.155,0.44
HBW_1,features,m2_speed_fft_peak,FSK,25.123,0.504
HBW_1,features,m3_speed_psd_peak,FSK,25.079,0.504
HBW_1,features,m3_speed_psd_mean_energy,FSK,25.058,0.504
HBW_1,features,m3_speed_psd_peak_freq,FSK,25.007,0.504
HBW_1,features,m3_speed_rms,FSK,25.123,0.504
HBW_1,features,m3_speed_mean,FSK,25.091,0.512
HBW_1,features,m3_speed_variance,FSK,24.96,0.496
HBW_1,features,m3_speed_fft_peak,FSK,25.091,0.512
HBW_1,features,m4_speed_psd_peak,FSK,25.253,0.464
HBW_1,features,m4_speed_psd_mean_energy,FSK,25.336,0.448
HBW_1,features,m4_speed_psd_peak_freq,FSK,25.265,0.44
HBW_1,features,m4_speed_rms,FSK,25.091,0.512
HBW_1,features,m4_speed_mean,FSK,25.091,0.512
HBW_1,features,m4_speed_variance,FSK,25.227,0.496
HBW_1,features,m4_speed_fft_peak,FSK,25.091,0.512
HBW_1,features,current_pos_x_psd_peak,FSK,25.071,0.472
HBW_1,features,current_pos_x_psd_mean_energy,FSK,25.107,0.456
HBW_1,features,current_pos_x_psd_peak_freq,FSK,24.932,0.528
HBW_1,features,current_pos_x_rms,FSK,25.177,0.472
HBW_1,features,current_pos_x_mean,FSK,25.228,0.48
HBW_1,features,current_pos_x_variance,FSK,25.102,0.448
HBW_1,features,current_pos_x_fft_peak,FSK,25.228,0.48
HBW_1,features,current_pos_y_psd_peak,FSK,25.12,0.496
HBW_1,features,current_pos_y_psd_mean_energy,FSK,25.134,0.488
HBW_1,features,current_pos_y_psd_peak_freq,FSK,24.96,0.52
HBW_1,features,current_pos_y_rms,FSK,24.996,0.536
HBW_1,features,current_pos_y_mean,FSK,25.045,0.544
HBW_1,features,current_pos_y_variance,FSK,25.018,0.504
HBW_1,features,current_pos_y_fft_peak,FSK,25.045,0.544
HBW_1,features,target_pos_x_psd_peak,FSK,25.233,0.456
HBW_1,features,target_pos_x_psd_mean_energy,FSK,25.274,0.44
HBW_1,features,target_pos_x_psd_peak_freq,FSK,24.903,0.536
HBW_1,features,target_pos_x_rms,FSK,25.35,0.456
HBW_1,features,target_pos_x_mean,FSK,25.189,0.488
HBW_1,features,target_pos_x_variance,FSK,25.203,0.432
HBW_1,features,target_pos_x_fft_peak,FSK,25.189,0.488
HBW_1,features,target_pos_y_psd_peak,FSK,25.084,0.504
HBW_1,features,target_pos_y_psd_mean_energy,FSK,25.084,0.504
HBW_1,features,target_pos_y_psd_peak_freq,FSK,25.003,0.512
HBW_1,features,target_pos_y_rms,FSK,24.996,0.536
HBW_1,features,target_pos_y_mean,FSK,24.913,0.56
HBW_1,features,target_pos_y_variance,FSK,25.018,0.512
HBW_1,features,target_pos_y_fft_peak,FSK,24.913,0.56
HBW_1,features,current_task_duration_psd_peak,FSK,25.091,0.472
